번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자,geometry
60,부산광역시 사하구청,부산광역시 사하구 다대로 636,부산광역시 사하구 다대동 1552-2,다목적,1,200,360도 전방면,30,Sep-20,051-220-4344,35.04954,128.969917,2023-02-16,[35.04954 128.969917]
61,부산광역시 사하구청,부산광역시 사하구 다대동로70번길 31,부산광역시 사하구 다대동 1446,다목적,1,200,360도 전방면,30,Sep-20,051-220-4344,35.058003,128.975838,2023-02-16,[35.058003 128.975838]
62,부산광역시 사하구청,부산광역시 사하구 다대동로70번길 31,부산광역시 사하구 다대동 1446,다목적,1,200,360도 전방면,30,Sep-20,051-220-4344,35.058003,128.975838,2023-02-16,[35.058003 128.975838]
63,부산광역시 사하구청,부산광역시 사하구 다대낙조2길 199,부산광역시 사하구 다대동 1550-3,다목적,1,200,360도 전방면,30,Sep-20,051-220-4344,35.053008,128.968987,2023-02-16,[35.053008 128.968987]
64,부산광역시 사하구청,부산광역시 사하구 다대낙조2길 199,부산광역시 사하구 다대동 1550-3,다목적,1,200,360도 전방면,30,Sep-20,051-220-4344,35.053008,128.968987,2023-02-16,[35.053008 128.968987]
65,부산광역시 사하구청,부산광역시 사하구 윤공단로75번길 43,부산광역시 사하구 다대동 1639,다목적,1,200,360도 전방면,30,Sep-20,051-220-4344,35.058398,128.965822,2023-02-16,[35.058398 128.965822]
66,부산광역시 사하구청,부산광역시 사하구 윤공단로75번길 43,부산광역시 사하구 다대동 1639,다목적,1,200,360도 전방면,30,Sep-20,051-220-4344,35.058398,128.965822,2023-02-16,[35.058398 128.965822]
67,부산광역시 사하구청,부산광역시 사하구 윤공단로75번길 43,부산광역시 사하구 다대동 1639,다목적,1,200,360도 전방면,30,Sep-20,051-220-4344,35.058398,128.965822,2023-02-16,[35.058398 128.965822]
68,부산광역시 사하구청,부산광역시 사하구 다대로 605번길 17,부산광역시 사하구 다대동 680-23,다목적,1,200,360도 전방면,30,Sep-20,051-220-4344,35.052529,128.973412,2023-02-16,[35.052529 128.973412]
69,부산광역시 사하구청,부산광역시 사하구 다대로 605번길 17,부산광역시 사하구 다대동 680-23,다목적,1,200,360도 전방면,30,Sep-20,051-220-4344,35.052529,128.973412,2023-02-16,[35.052529 128.973412]
70,부산광역시 사하구청,부산광역시 사하구 두송로144번길 69,부산광역시 사하구 다대동 산 9,다목적,1,200,360도 전방면,30,Sep-20,051-220-4344,35.070555,128.982087,2023-02-16,[35.070555 128.982087]
71,부산광역시 사하구청,부산광역시 사하구 두송로144번길 69,부산광역시 사하구 다대동 산 9,다목적,1,200,360도 전방면,30,Sep-20,051-220-4344,35.070555,128.982087,2023-02-16,[35.070555 128.982087]
72,부산광역시 사하구청,부산광역시 사하구 두송로144번길 69,부산광역시 사하구 다대동 산 9,다목적,1,200,360도 전방면,30,Sep-20,051-220-4344,35.070555,128.982087,2023-02-16,[35.070555 128.982087]
73,부산광역시 사하구청,부산광역시 사하구 두송로144번길 69,부산광역시 사하구 다대동 산 9,다목적,1,200,360도 전방면,30,Sep-20,051-220-4344,35.070555,128.982087,2023-02-16,[35.070555 128.982087]
74,부산광역시 사하구청,부산광역시 사하구 다송로72번길 80,부산광역시 사하구 다대동 1572,다목적,1,200,360도 전방면,30,Sep-20,051-220-4344,35.059697,128.979407,2023-02-16,[35.059697 128.979407]
75,부산광역시 사하구청,부산광역시 사하구 다송로72번길 80,부산광역시 사하구 다대동 1572,다목적,1,200,360도 전방면,30,Sep-20,051-220-4344,35.059697,128.979407,2023-02-16,[35.059697 128.979407]
76,부산광역시 사하구청,부산광역시 사하구 다송로72번길 80,부산광역시 사하구 다대동 1572,다목적,1,200,360도 전방면,30,Sep-20,051-220-4344,35.059697,128.979407,2023-02-16,[35.059697 128.979407]
77,부산광역시 사하구청,부산광역시 사하구 다송로72번길 80,부산광역시 사하구 다대동 1572,다목적,1,200,360도 전방면,30,Sep-20,051-220-4344,35.059697,128.979407,2023-02-16,[35.059697 128.979407]
78,부산광역시 사하구청,부산광역시 사하구 다대로 447,부산광역시 사하구 다대동 1432-8,다목적,1,200,360도 전방면,30,Sep-20,051-220-4344,35.06323701,128.979444,2023-02-16,[35.06323701 128.979444]
79,부산광역시 사하구청,부산광역시 사하구 다대로 447,부산광역시 사하구 다대동 1432-8,다목적,1,200,360도 전방면,30,Sep-20,051-220-4344,35.063237,128.979444,2023-02-16,[35.063237 128.979444]
80,부산광역시 사하구청,부산광역시 사하구 다대로 447,부산광역시 사하구 다대동 1432-8,다목적,1,200,360도 전방면,30,Sep-20,051-220-4344,35.063237,128.979444,2023-02-16,[35.063237 128.979444]
81,부산광역시 사하구청,부산광역시 사하구 다대동 1601,부산광역시 사하구 다대동 1601,다목적,1,200,360도 전방면,30,Sep-20,051-220-4344,35.061399,128.987131,2023-02-16,[35.061399 128.987131]
82,부산광역시 사하구청,부산광역시 사하구 다대동 1601,부산광역시 사하구 다대동 1601,다목적,1,200,360도 전방면,30,Sep-20,051-220-4344,35.061399,128.987131,2023-02-16,[35.061399 128.987131]
83,부산광역시 사하구청,부산광역시 사하구 다대로381번길 101,부산광역시 사하구 다대동 94-6,다목적,1,200,360도 전방면,30,Sep-20,051-220-4344,35.06388,128.986394,2023-02-16,[35.06388 128.986394]
84,부산광역시 사하구청,부산광역시 사하구 다대로381번길 101,부산광역시 사하구 다대동 94-6,다목적,1,200,360도 전방면,30,Sep-20,051-220-4344,35.06388,128.986394,2023-02-16,[35.06388 128.986394]
85,부산광역시 사하구청,부산광역시 사하구 다대로381번길 101,부산광역시 사하구 다대동 94-6,다목적,1,200,360도 전방면,30,Sep-20,051-220-4344,35.06388,128.986394,2023-02-16,[35.06388 128.986394]
86,부산광역시 사하구청,부산광역시 사하구 다대로381번길 101,부산광역시 사하구 다대동 94-6,다목적,1,200,360도 전방면,30,Sep-20,051-220-4344,35.06388,128.986394,2023-02-16,[35.06388 128.986394]
87,부산광역시 사하구청,부산광역시 사하구 감천동 140-2,부산광역시 사하구 감천동 140-2,다목적,1,200,360도 전방면,30,Nov-20,051-220-4344,35.083823,129.00656,2023-02-16,[35.083823 129.00656]
88,부산광역시 사하구청,부산광역시 사하구 장림시장7길 115,부산광역시 사하구 장림2동 638-11,다목적,1,200,360도 전방면,30,Dec-18,051-220-4344,35.080031,128.967926,2023-02-16,[35.080031 128.967926]
89,부산광역시 사하구청,부산광역시 사하구 오작로3번길 32,부산광역시 사하구 괴정3동 441-40,다목적,1,200,360도 전방면,30,Dec-18,051-220-4344,35.09854,128.995363,2023-02-16,[35.09854 128.995363]
90,부산광역시 사하구청,부산광역시 사하구 사하로186번나길 18,부산광역시 사하구 괴정3동 1014-1,다목적,1,200,360도 전방면,30,Dec-18,051-220-4344,35.099253,128.994923,2023-02-16,[35.099253 128.994923]
91,부산광역시 사하구청,부산광역시 사하구 사하로186번가길 14,부산광역시 사하구 괴정3동 1014-11,다목적,1,200,360도 전방면,30,Dec-18,051-220-4344,35.099031,128.994725,2023-02-16,[35.099031 128.994725]
92,부산광역시 사하구청,부산광역시 사하구 장림시장7길 94,부산광역시 사하구 장림1동 640-49,다목적,1,200,360도 전방면,30,Dec-18,051-220-4344,35.080161,128.967331,2023-02-16,[35.080161 128.967331]
93,부산광역시 사하구청,부산광역시 사하구 장림시장7길 30,부산광역시 사하구 장림1동 808-116,다목적,1,200,360도 전방면,30,Dec-18,051-220-4344,35.080618,128.965665,2023-02-16,[35.080618 128.965665]
94,부산광역시 사하구청,부산광역시 사하구 장림시장1길 24,부산광역시 사하구 장림1동 641-28,다목적,1,200,360도 전방면,30,Dec-18,051-220-4344,35.081342,128.966604,2023-02-16,[35.081342 128.966604]
95,부산광역시 사하구청,부산광역시 사하구 장림시장3길 8,부산광역시 사하구 장림1동 808-9,다목적,1,200,360도 전방면,30,Dec-18,051-220-4344,35.081224,128.965885,2023-02-16,[35.081224 128.965885]
96,부산광역시 사하구청,부산광역시 사하구 비봉로54번안길 22,부산광역시 사하구 신평2동 산 107-5,다목적,2,200,360도 전방면,30,Dec-18,051-220-4344,35.099544,128.966598,2023-02-16,[35.099544 128.966598]
97,부산광역시 사하구청,부산광역시 사하구 비봉로54번안길 9,부산광역시 사하구 신평2동 430-11,다목적,3,200,360도 전방면,30,Dec-18,051-220-4344,35.099009,128.966218,2023-02-16,[35.099009 128.966218]
98,부산광역시 사하구청,부산광역시 사하구 비봉로54번길 12,부산광역시 사하구 신평2동 430-3,다목적,2,200,360도 전방면,30,Dec-18,051-220-4344,35.09845,128.966193,2023-02-16,[35.09845 128.966193]
99,부산광역시 사하구청,부산광역시 사하구 비봉로 46,부산광역시 사하구 신평2동 428,다목적,2,200,360도 전방면,30,Dec-18,051-220-4344,35.098145,128.965488,2023-02-16,[35.098145 128.965488]
100,부산광역시 사하구청,부산광역시 사하구 대티로 80,부산광역시 사하구 괴정2동 88-1,다목적,4,200,360도 전방면,30,Dec-18,051-220-4344,35.106861,129.007935,2023-02-16,[35.106861 129.007935]
101,부산광역시 사하구청,부산광역시 사하구 괴정1동 1244-5번지,부산광역시 사하구 괴정1동 1244-5번지,다목적,3,200,360도 전방면,30,Aug-19,051-220-4344,35.106854,128.999725,2023-02-16,[35.106854 128.999725]
102,부산광역시 사하구청,부산광역시 사하구 감천동 632-2,부산광역시 사하구 감천동 632-2,다목적,3,200,360도 전방면,30,Aug-19,051-220-4344,35.09221134,128.9993571,2023-02-16,[35.09221134 128.9993571]
103,부산광역시 사하구청,부산광역시 사하구 다대로165,부산광역시 사하구 신평동 582-1,다목적,4,200,360도 전방면,30,Nov-19,051-220-4344,35.08743993,128.9776901,2023-02-16,[35.08743993 128.9776901]
104,부산광역시 사하구청,부산광역시 사하구 신산로177,부산광역시 사하구 신평동 586-5,다목적,4,200,360도 전방면,30,Nov-19,051-220-4344,35.08993993,128.9750001,2023-02-16,[35.08993993 128.9750001]
105,부산광역시 사하구청,부산광역시 사하구 다대로137번길 78,부산광역시 사하구 신평동 41-51,다목적,4,200,360도 전방면,30,Nov-19,051-220-4344,35.09057993,128.9795001,2023-02-16,[35.09057993 128.9795001]
106,부산광역시 사하구청,부산광역시 사하구 다대로135번길 39,부산광역시 사하구 신평동 31-14,다목적,4,200,360도 전방면,30,Nov-19,051-220-4344,35.09171993,128.9795401,2023-02-16,[35.09171993 128.9795401]
107,부산광역시 사하구청,부산광역시 사하구 장평로 301번길 15,부산광역시 사하구 신평동 166-4,다목적,3,200,360도 전방면,30,Nov-19,051-220-4344,35.09369993,128.9729701,2023-02-16,[35.09369993 128.9729701]
108,부산광역시 사하구청,부산광역시 사하구 신산북로49번길 5,부산광역시 사하구 신평동 334,다목적,4,200,360도 전방면,30,Nov-19,051-220-4344,35.09140993,128.9701701,2023-02-16,[35.09140993 128.9701701]
109,부산광역시 사하구청,부산광역시 사하구 신산북로67번길 12,부산광역시 사하구 신평동 272-3,다목적,4,200,360도 전방면,30,Nov-19,051-220-4344,35.09150993,128.9720601,2023-02-16,[35.09150993 128.9720601]
110,부산광역시 사하구청,부산광역시 사하구 다대로126번길 77,부산광역시 사하구 신평동 111-148,다목적,5,200,360도 전방면,30,Nov-19,051-220-4344,35.09258993,128.9763901,2023-02-16,[35.09258993 128.9763901]
111,부산광역시 사하구청,부산광역시 사하구 다대로135번길 30-19,부산광역시 사하구 신평동 산36-5,다목적,3,200,360도 전방면,30,Nov-19,051-220-4344,35.09010993,128.9803101,2023-02-16,[35.09010993 128.9803101]
112,부산광역시 사하구청,부산광역시 사하구 다대로142번길 118,부산광역시 사하구 신평동 111-604,다목적,3,200,360도 전방면,30,Nov-19,051-220-4344,35.09210993,128.9751701,2023-02-16,[35.09210993 128.9751701]
113,부산광역시 사하구청,부산광역시 사하구 신평동 452-5,부산광역시 사하구 신평동 452-5,다목적,4,200,360도 전방면,30,Nov-19,051-220-4344,35.09782993,128.9610301,2023-02-16,[35.09782993 128.9610301]
114,부산광역시 사하구청,부산광역시 사하구 하신번영로151번길 20,부산광역시 사하구 신평동 631-1,다목적,5,200,360도 전방면,30,Nov-19,051-220-4344,35.09614993,128.9589101,2023-02-16,[35.09614993 128.9589101]
115,부산광역시 사하구청,부산광역시 사하구 하신번영로173번길 35,부산광역시 사하구 신평동 636,다목적,3,200,360도 전방면,30,Nov-19,051-220-4344,35.09824993,128.9581801,2023-02-16,[35.09824993 128.9581801]
116,부산광역시 사하구청,부산광역시 사하구 하신번영로179번길59,부산광역시 사하구 신평동 594-5,다목적,3,200,360도 전방면,30,Nov-19,051-220-4344,35.09883993,128.9568201,2023-02-16,[35.09883993 128.9568201]
117,부산광역시 사하구청,부산광역시 사하구 비봉로21번길 22,부산광역시 사하구 신평동 417-7,다목적,4,200,360도 전방면,30,Nov-19,051-220-4344,35.09790993,128.9636101,2023-02-16,[35.09790993 128.9636101]
118,부산광역시 사하구청,부산광역시 사하구 비봉로 36,부산광역시 사하구 신평동 409-13,다목적,4,200,360도 전방면,30,Nov-19,051-220-4344,35.09747993,128.9653501,2023-02-16,[35.09747993 128.9653501]
119,부산광역시 사하구청,부산광역시 사하구 구평동 501,부산광역시 사하구 구평동 501,다목적,5,200,360도 전방면,30,Nov-19,051-220-4344,35.08368993,128.9848101,2023-02-16,[35.08368993 128.9848101]
120,부산광역시 사하구청,부산광역시 사하구 구평동 508,부산광역시 사하구 구평동 508,다목적,4,200,360도 전방면,30,Nov-19,051-220-4344,35.08173993,128.9879101,2023-02-16,[35.08173993 128.9879101]
121,부산광역시 사하구청,부산광역시 사하구 을숙도대로755번길 50,부산광역시 사하구 구평동 7-2,다목적,4,200,360도 전방면,30,Nov-19,051-220-4344,35.08867993,128.9876301,2023-02-16,[35.08867993 128.9876301]
122,부산광역시 사하구청,부산광역시 사하구 서포로30번길 26,부산광역시 사하구 구평동 517,다목적,4,200,360도 전방면,30,Nov-19,051-220-4344,35.08160993,128.9865001,2023-02-16,[35.08160993 128.9865001]
123,부산광역시 사하구청,부산광역시 사하구 서포로 7,부산광역시 사하구 구평동 117-14,다목적,4,200,360도 전방면,30,Nov-19,051-220-4344,35.08425993,128.9843501,2023-02-16,[35.08425993 128.9843501]
124,부산광역시 사하구청,부산광역시 사하구 감천항로 527,부산광역시 사하구 구평동 494-11,다목적,4,200,360도 전방면,30,Nov-19,051-220-4344,35.04805993,129.0001301,2023-02-16,[35.04805993 129.0001301]
