순번,시도본부,소방서,119안전센터명,주소,전화번호,geometry
37,서울,은평,수색119안전센터,서울특별시 은평구 수색로 320 (수색동),02-6981-6191,[126.889905679045 37.5852677029786]
38,서울,강남,삼성119안전센터,서울특별시 강남구 테헤란로 629 (삼성동),02-6981-7556,[127.066830196714 37.5102791937918]
39,서울,강남,영동119안전센터,서울특별시 강남구 도산대로 320 (논현동),02-517-5119,[127.03693433067 37.5221428647963]
40,서울,강남,역삼119안전센터,서울특별시 강남구 역삼로 236 (역삼동),02-557-0109,[127.042446564006 37.4971302963569]
41,서울,강남,수서119안전센터,서울특별시 강남구 광평로31길 6 (수서동),02-445-9019,[127.092841706314 37.4849268509466]
42,서울,강남,개포119안전센터,서울특별시 강남구 논현로 10길 19 (개포동),02-577-2540,[127.049895047376 37.4747004805241]
43,서울,강남,세곡119안전센터,서울특별시 강남구 밤고개로 268 (율현동),02-451-0882,[127.107194977868 37.4704424214155]
44,서울,서초,반포119안전센터,서울특별시 서초구 사평대로 67 (반포동),02-534-0119,[126.991933484053 37.4984499624536]
45,서울,서초,방배119안전센터,서울특별시 서초구 남부순환로 2155 (방배동),02-582-0119,[126.98820996058 37.4755003421939]
46,서울,서초,양재119안전센터,서울특별시 서초구 동산로 9 (양재동),02-572-5523,[127.040825131053 37.4694635060301]
47,서울,서초,서초119안전센터,서울특별시 서초구 효령로 400 (서초동),02-3473-0119,[127.027597379495 37.4880317322992]
48,서울,서초,잠원119안전센터,서울특별시 서초구 서초중앙로29길 6 (반포동),02-532-7119,[127.011600589722 37.4990716329324]
49,서울,서초,우면119안전센터,서울특별시 서초구 남부순환로340길 49 (서초동),02-522-6119,[127.021885024707 37.479576332262]
50,서울,강서,등촌119안전센터,서울특별시 강서구 양천로 550 (등촌동),02-6981-5120,[126.860047002918 37.5582460680719]
51,서울,강서,화곡119안전센터,서울특별시 강서구 까치산로 49 (화곡동),02-6981-5170,[126.845223517709 37.543664744296]
52,서울,강서,발산119안전센터,서울특별시 강서구 강서로 329 (내발산동),02-6981-5175,[126.836860953088 37.555261129542]
53,서울,강서,방화119안전센터,서울특별시 강서구 금낭화로26길 10 (방화동),02-6981-5180,[126.814281581572 37.5797935701872]
54,서울,강서,개화119안전센터,서울특별시 강서구 개화동로19길 8 (개화동),02-6981-5185,[126.803146069104 37.575000173221]
55,서울,강서,마곡119안전센터,서울특별시 강서구 마곡서로 9 (마곡동),02-6981-5190,[126.820718949632 37.5559362655126]
56,서울,강동,성내119안전센터,서울특별시 강동구 성내로 39 (성내동),02-6981-7750,[127.125372107356 37.5294578780874]
57,서울,강동,천호119안전센터,서울특별시 강동구 진황도로 37 (천호동),02-474-1721,[127.131370251226 37.538619937408]
58,서울,강동,고덕119안전센터,서울특별시 강동구 양재대로156길 133 (고덕동),02-426-0431,[127.151860472213 37.5571655644062]
59,서울,강동,암사119안전센터,서울특별시 강동구 올림픽로 815 (암사동),02-429-0427,[127.12863753848 37.5539834377479]
60,서울,강동,길동119안전센터,서울특별시 강동구 천중로 215 (길동),02-487-6119,[127.144357712705 37.5409744935373]
61,서울,강동,강일119안전센터,서울특별시 강동구 고덕로98길 22 (강일동),02-6981-7790,[127.17968449182 37.5573403955858]
62,서울,마포,신수119안전센터,서울특별시 마포구 창전로 76 (신수동),02-6981-7930,[126.933177803745 37.5493731987746]
63,서울,마포,염리119안전센터,서울특별시 마포구 토정로 37길 27 (염리동),02-713-0965,[126.945572683437 37.5417335945556]
64,서울,마포,서교119안전센터,서울특별시 마포구 양화로 60 (서교동),02-3143-2119,[126.915543990283 37.5502847053114]
65,서울,마포,성산119안전센터,서울특별시 마포구 월드컵북로 240 (성산동),02-304-0119,[126.90305825047 37.5706093453431]
66,서울,마포,공덕119안전센터,서울특별시 마포구 만리재옛길 82 (공덕동),02-3274-0976,[126.959767170966 37.5500487475154]
68,서울,도봉,방학119안전센터,서울특별시 도봉구 도봉로 666 (방학동),02-6981-8180,[127.043019014157 37.6640064725024]
69,서울,도봉,도봉119안전센터,서울특별시 도봉구 도봉로 721 (방학동),02-6981-8182,[127.04309259534 37.6689504865078]
70,서울,도봉,창동119안전센터,서울특별시 도봉구 해등로 25 (창동),02-6981-8184,[127.043734714786 37.646761768825]
71,서울,도봉,쌍문119안전센터,서울특별시 도봉구 노해로 152 (쌍문동),02-6981-8186,[127.026815972409 37.6481984004112]
72,서울,구로,수궁119안전센터,서울특별시 구로구 오리로 1285 (궁동),02-6981-6372,[126.82954314226 37.4962644992294]
73,서울,구로,고일119안전센터,서울특별시 구로구 경인로 408 (고척동),02-2619-0119,[126.86521575957 37.4977928295037]
74,서울,구로,고척119안전센터,서울특별시 구로구 고척로 195 (고척동),02-6981-6378,[126.854864624849 37.5049287806115]
75,서울,구로,구로119안전센터,서울특별시 구로구 구로동로 175 (구로동),02-6981-6384,[126.882548301049 37.4942274908725]
76,서울,구로,신도림119안전센터,서울특별시 구로구 경인로59길 57 (신도림동),02-6981-6390,[126.881212537772 37.5073244326985]
77,서울,구로,공단119안전센터,서울특별시 구로구 디지털로34길 56 (구로동),02-6981-6396,[126.898432630772 37.484225084951]
78,서울,노원,하계119안전센터,서울특별시 노원구 한글비석로1길 8 (하계동),02-6981-6940,[127.071107030841 37.6382549586524]
79,서울,노원,상계119안전센터,서울특별시 노원구 노원로26길 111 (상계동),02-6981-6969,[127.0716247327 37.6550522215901]
80,서울,노원,공릉119안전센터,서울특별시 노원구 화랑로 482 (공릉동),02-6981-6979,[127.080693450592 37.6190612991145]
81,서울,노원,월계119안전센터,서울특별시 노원구 월계로 323 (월계동),02-6981-6989,[127.056393818666 37.6288105788559]
82,서울,노원,수락119안전센터,서울특별시 노원구 동일로 1694 (상계동),02-6981-6999,[127.055776663279 37.6797401642825]
83,서울,관악,관악119안전센터,서울특별시 관악구 관악로 97 (봉천동),02-6981-8340,[126.952685489441 37.474124805543]
84,서울,관악,봉천119안전센터,서울특별시 관악구 은천로 54 (봉천동),02-886-0119,[126.941113960309 37.4859489532925]
85,서울,관악,신림119안전센터,서울특별시 관악구 봉천로 202 (신림동),02-874-0119,[126.923986693672 37.4896334876154]
86,서울,관악,난곡119안전센터,서울특별시 관악구 난곡로 243 (신림동),02-859-0119,[126.916070379965 37.4756896173156]
87,서울,관악,마천119안전센터,서울특별시 송파구 오금로51길 56 (마천동),02-6981-5343,[127.142591860451 37.4998334512085]
88,서울,송파,거여119안전센터,서울특별시 송파구 마천로 329 (마천동),02-6981-5362,[127.151828028702 37.494162814581]
89,서울,송파,방이119안전센터,서울특별시 송파구 강동대로 286 (방이동),02-6981-5370,[127.136571935167 37.519784557048]
90,서울,송파,잠실119안전센터,서울특별시 송파구 석촌호수로 151 (잠실동),02-6981-5378,[127.093893101316 37.5073164796842]
91,서울,송파,종합운동장119안전센터,서울특별시 송파구 올림픽로 25 (잠실동),02-6981-5387,[127.075939572603 37.5161996814031]
92,서울,송파,가락119안전센터,서울특별시 송파구 양재대로 932 (가락동),02-6981-5394,[127.108713599026 37.4945376921828]
93,서울,양천,양천119안전센터,서울특별시 양천구 목동서로 180 (목동),02-6981-8750,[126.872342277813 37.5302359667761]
94,서울,양천,신정119안전센터,서울특별시 양천구 신월로 268 (신정동),02-6981-8760,[126.850955859801 37.5217756482988]
95,서울,양천,목동119안전센터,서울특별시 양천구 안양천로 1139 (목동),02-6981-8765,[126.883552801526 37.5427783009136]
96,서울,양천,신월119안전센터,서울특별시 양천구 남부순환로 448 (신월동),02-6981-8790,[126.833084887826 37.527925585812]
97,서울,양천,신트리119안전센터,서울특별시 양천구 신정로 238 (신정동),02-6981-8795,[126.84798529112 37.5106105096518]
98,서울,양천,신내119안전센터,서울특별시 중랑구 신내로 183 (신내동),02-6981-8850,[127.09488645434 37.6153857016411]
99,서울,중랑,면목119안전센터,서울특별시 중랑구 동일로 475 (면목동),02-6981-8962,[127.079878532438 37.5728233444034]
100,서울,중랑,망우119안전센터,서울특별시 중랑구 용마산로 524 (망우동),02-6981-8972,[127.100571864346 37.5977258343186]
101,서울,중랑,중화119안전센터,서울특별시 중랑구 동일로 783 (중화동),02-6981-8982,[127.079334389398 37.600460399449]
102,서울,동작,동작119안전센터,서울특별시 동작구 여의대방로16길 55 (신대방동),02-6913-7871,[126.91771856513 37.4946721349965]
103,서울,동작,노량진119안전센터,서울특별시 동작구 노량진로 187 (노량진동),02-6913-7881,[126.946943945314 37.513669634701]
104,서울,동작,상도119안전센터,서울특별시 동작구 국사봉1길 17 (상도동),02-6913-7888,[126.929474600621 37.4990401585505]
105,서울,동작,백운119안전센터,서울특별시 동작구 사당로 63 (상도동),02-6913-7895,[126.961590416037 37.4948022151833]
106,서울,서대문,연희119안전센터,서울특별시 서대문구 연희로 182 (연희동),02-6981-5520,[126.935995916827 37.57320485877]
107,서울,서대문,북가좌119안전센터,서울특별시 서대문구 증가로 242 (북가좌동),02-6981-5539,[126.913003680191 37.5828643962709]
108,서울,서대문,홍은119안전센터,서울특별시 서대문구 홍은중앙로 83 (홍은동),02-6981-5549,[126.947029460621 37.5987232899088]
109,서울,서대문,북아현119안전센터,서울특별시 서대문구 북아현로 37 (북아현동),02-6981-5559,[126.955739118108 37.5606596163451]
110,서울,강북,번동119안전센터,서울특별시 강북구 한천로 911 (번동),02-6946-0250,[127.038180860463 37.6330513410328]
111,서울,강북,우이119안전센터,서울특별시 강북구 삼각산로 111 (수유동),02-904-0119,[127.016496342099 37.6409535904087]
112,서울,강북,미아119안전센터,서울특별시 강북구 도봉로 125 (미아동),02-983-9111,[127.02829468516 37.6200218033242]
113,서울,강북,삼각산119안전센터,서울특별시 강북구 솔샘로 208 (미아동),02-983-5119,[127.015503392069 37.6198625399321]
114,서울,강북,행당119안전센터,서울특별시 성동구 살곶이길 331(행당동),02-2622-1740,[127.039519760538 37.5538788610456]
115,서울,강북,성수119안전센터,서울특별시 성동구 뚝섬로 452(성수동2가),02-2622-1751,[127.060654486737 37.537176455916]
116,서울,성동,왕십리119안전센터,서울특별시 성동구 고산자로 249(도선동),02-2622-1761,[127.035474709777 37.5620370536455]
117,서울,성동,금호119안전센터,서울특별시 성동구 난계로 19(금호동1가),02-2622-1771,[127.024208560228 37.5540068802159]
118,서울,성동,시흥119안전센터,서울특별시 금천구 시흥대로45길 31 시흥119안전센터,02-6981-6552,[126.900483119901 37.4485476989236]
119,서울,성동,금천119안전센터,서울특별시 금천구 시흥대로 342(독산2동),,[126.897934083993 37.4641358331914]
120,부산,중부,중앙119안전센터,부산광역시 중구 중앙대로 110(중앙동4가),051-760-6111,[129.036729805709 35.1071098042428]
121,부산,중부,부민119안전센터,부산광역시 서구 임시수도기념로 21-4(부민동3가),051-760-6121,[129.01859290874 35.1032296520266]
122,부산,중부,충무119안전센터,부산광역시 서구 충무대로 186(남부민동),051-760-6131,[129.024782788649 35.0871102237157]
123,부산,중부,창선119안전센터,부산광역시 중구 대청로 68-1(부평동1가),051-760-6141,[129.027344019637 35.1028480957045]
124,부산,중부,초량119안전센터,부산광역시 동구 중앙대로 260번길 7(초량동),051-760-6151,[129.043208353802 35.1197972849571]
125,부산,부산진,부전119안전센터,부산광역시 부산진구 서전로 43(전포동),051-760-6211,[129.064634532602 35.1580729998094]
126,부산,부산진,범일119안전센터,부산광역시 동구 범일로 115(범일동),051-760-6221,[129.059044441256 35.1404322853997]
127,부산,부산진,수정119안전센터,부산광역시 동구 중앙대로 383-1(수정동),051-760-6231,[129.049215544755 35.1296131943422]
128,부산,부산진,가야119안전센터,부산광역시 부산진구 가야대로 627(가야동),051-760-6241,[129.040389978536 35.1557502150966]
129,부산,부산진,부암119안전센터,부산광역시 부산진구 신천대로 282(부암동),051-760-6251,[129.050728551944 35.1669035794401]
130,부산,부산진,당감119안전센터,부산광역시 부산진구 백양산로53번길 65(당감동),051-760-6261,[129.028526167136 35.17168920814]
131,부산,부산진,안창119안전센터,부산광역시 동구 안창로 62(범일동),051-760-6271,[129.041756814054 35.1460277441636]
132,부산,동래,연산119안전센터,부산광역시 연제구 고분로 216(연산동),051-760-6311,[129.105747814753 35.1834432601063]
133,부산,동래,수안119안전센터,부산광역시 동래구 명륜로45번길 7(수안동),051-760-6321,[129.083813837728 35.1981511198489]
134,부산,동래,온천119안전센터,부산광역시 동래구 우장춘로 196(온천동),051-760-6331,[129.077595570706 35.2232732651656]
135,부산,동래,양정119안전센터,부산광역시 부산진구 연수로 44(양정동),051-760-6341,[129.075933707902 35.1744807918893]
136,부산,동래,사직119안전센터,부산광역시 동래구 체육공원로 74(사직동),051-760-6351,[129.059243506078 35.1946573464887]
137,부산,북부,삼락119안전센터,부산광역시 사상구 삼덕로 17(삼락동),051-760-6411,[128.978757026489 35.174526513559]
138,부산,북부,감전119안전센터,부산광역시 사상구 가야대로 41(감전동),051-760-6421,[128.97739115958 35.1518619673133]
139,부산,북부,구포119안전센터,부산광역시 북구 만덕대로 31(덕천동),051-760-6431,[129.008363744595 35.2111460677691]
140,부산,북부,화명119안전센터,부산광역시 북구 금곡대로 184(화명동),051-760-6451,[129.010309958729 35.2252697756132]
141,부산,북부,주례119안전센터,부산광역시 사상구 양지로22번길 7(주례동),051-760-6461,[129.004149169682 35.1540753002093]
142,부산,북부,모라119안전센터,부산광역시 사상구 백양대로 950(모라동),051-760-6471,[128.992260216349 35.1909775780576]
143,부산,북부,학장119안전센터,부산광역시 사상구 학감대로 89(학장동),051-760-6481,[128.990454486897 35.1396785582034]
144,부산,북부,금곡119안전센터,부산광역시 북구 금곡대로616번길 151(금곡동),051-760-6491,[129.017668790653 35.2673640559246]
145,부산,북부,만덕119안전센터,부산광역시 북구 함박봉로 142(만덕동),051-760-6441,[129.033189188531 35.2048093141871]
146,부산,사하,신평119안전센터,부산광역시 사하구 장평로 270(신평동),051-760-6512,[128.973412192705 35.0906373939267]
147,부산,사하,괴정119안전센터,부산광역시 사하구 낙동대로 262(괴정동),051-760-6522,[128.988382534008 35.0994211596906]
148,부산,사하,하단119안전센터,부산광역시 사하구 낙동남로 1407(하단동),051-760-6532,[128.965590720102 35.1065237297469]
149,부산,사하,다대119안전센터,부산광역시 사하구 다대로 622(다대동),051-760-6542,[128.970370157716 35.0511794178346]
150,부산,사하,감천119안전센터,부산광역시 사하구 원양로 405(감천동),051-760-6552,[129.004796449761 35.0863013563412]
151,부산,해운대,우동119안전센터,부산광역시 해운대구 해운대해변로 106(우동),051-760-6611,[129.143703445807 35.1595604978668]
152,부산,해운대,중동119안전센터,부산광역시 해운대구 달맞이길 117번길 72(중동),051-760-6621,[129.175850286031 35.1606827424106]
153,부산,해운대,반여119안전센터,부산광역시 해운대구 선수촌로 21번길 64(반여동),051-760-6631,[129.117843919825 35.1974075682399]
154,부산,해운대,센텀119안전센터,부산광역시 해운대구 센텀동로 50(우동),051-760-6651,[129.130799084319 35.1737605321549]
155,부산,해운대,좌동119안전센터,부산광역시 해운대구 대천로67번길 35(좌동),051-760-6641,[129.166472141693 35.1736463536188]
156,부산,해운대,반송119안전센터,부산광역시 해운대구 아랫반송로 10(반송동),051-760-6661,[129.146991933939 35.2253819284519]
157,부산,금정,부곡119안전센터,부산광역시 금정구 중앙대로 1789(부곡동),051-760-6711,[129.092379154968 35.2438809711478]
158,부산,금정,서동119안전센터,부산광역시 동래구 반송로 331(명장동),051-760-6721,[129.103304301676 35.2090301504975]
159,부산,금정,남산119안전센터,부산광역시 금정구 두실로 46(남산동),051-760-6731,[129.086884619266 35.2614284381626]
160,부산,금정,산성119안전센터,부산광역시 금정구 산성로 396(금성동),051-760-6751,[129.050916427357 35.2510570365821]
161,부산,남부,광안119안전센터,부산광역시 수영구 광일로 64(광안동),051-760-6811,[129.107041710548 35.163161521483]
162,부산,남부,감만119안전센터,부산광역시 남구 우암로 81(감만동),051-760-6821,[129.080532673297 35.1177173779452]
163,부산,남부,대연119안전센터,부산광역시 남구 수영로 279(대연동),051-760-6831,[129.097028770099 35.1362203592161]
164,부산,남부,망미119안전센터,부산광역시 수영구 연수로 330(망미동),051-760-6841,[129.106488392905 35.1717912061164]
165,부산,남부,용당119안전센터,부산광역시 남구 신선로 398(용당동),051-760-6851,[129.098631395708 35.1206557323299]
166,부산,강서,녹산119안전센터,부산광역시 강서구 녹산산단361로 9(송정동),051-760-6011,[128.856793762837 35.0895965953527]
167,부산,강서,신호119안전센터,부산광역시 강서구 신호산단4로 62(신호동),051-760-6021,[128.879555042648 35.0854810216802]
168,부산,강서,대저119안전센터,부산광역시 강서구 대저로221번길 25(대저1동),051-760-6031,[128.976877727806 35.2156902542779]
169,부산,강서,강동119안전센터,부산광역시 강서구 제도로 696(강동동),051-760-6041,[128.916034605218 35.174774219279]
170,부산,강서,지사119안전센터,부산광역시 강서구 과학산단로333번길 3(지사동),051-760-6051,[128.833204957391 35.1485997843036]
171,부산,기장,정관119안전센터,부산광역시 기장군 정관읍 용수로 7(정관읍),051-760-5411,[129.179899715251 35.3248180735465]
172,부산,기장,기장119안전센터,부산광역시 기장군 기장읍 차성동로5번길 16(기장읍),051-760-5421,[129.215407691526 35.2385607157386]
173,부산,기장,송정119안전센터,부산광역시 해운대구 송정중앙로15번길 16(송정동),051-760-5431,[129.203028497643 35.183814521768]
175,부산,항만,동삼119안전센터,부산광역시 영도구 해양로 297(동삼동),051-760-6911,[129.076863835442 35.0817880955564]
176,부산,항만,영선119안전센터,부산광역시 영도구 태종로 115(영선동1가),051-760-6921,[129.043382325231 35.0912675679499]
177,부산,항만,부두119안전센터,부산광역시 동구 충장대로 286(좌천동),051-760-6931,[129.052236034558 35.125622611275]
178,부산,항만,청학119안전센터,부산광역시 영도구 태종로 274(청학동),051-760-6941,[129.056583424962 35.0981458827609]
179,대구,중부,남산119안전센터,대구광역시 중구 달구벌대로 1926,053-601-4571,[128.575242214597 35.8625785689275]
180,대구,중부,서문로119안전센터,대구광역시 중구 경상감영길 45,053-601-4572,[128.589982298673 35.8715731433801]
181,대구,중부,봉덕119안전센터,대구광역시 남구 희망로3길 29,053-601-4573,[128.599284436666 35.8490254861932]
182,대구,중부,대신119안전센터,대구광역시 중구 큰장로26길 45,053-601-4574,[128.580771841427 35.8689072112825]
183,대구,중부,삼덕119안전센터,대구광역시 중구 공평로 35,053-601-4575,[128.599668873827 35.8671886015582]
184,대구,중부,명덕119안전센터,대구광역시 남구 명덕로34길 22,053-601-4577,[128.587200983073 35.8555191778081]
185,대구,중부,성명119안전센터,대구광역시 남구 대명남로 12-1,053-601-4578,[128.560147424485 35.8333979731285]
186,대구,동부,신천119안전센터,대구광역시 동구 동대구로 507,053-605-5320,[128.625222806232 35.8759869614137]
187,대구,동부,동촌119안전센터,대구광역시 동구 해동로 180,053-605-5330,[128.648443985747 35.8867095397556]
188,대구,동부,안심119안전센터,대구광역시 동구 반야월로 291,053-605-5340,[128.720401312369 35.8720900282404]
189,대구,동부,불로119안전센터,대구광역시 동구 팔공로50길 19,053-605-5350,[128.64394213613 35.9219950386844]
190,대구,동부,공산119안전센터,대구광역시 동구 팔공산로 1579,053-605-5360,[128.697731684738 35.9627707255417]
191,대구,동부,율하119안전센터,대구광역시 동구 율하동로8길 5,053-605-5370,[128.701949350883 35.8620979192014]
192,대구,서부,평리119안전센터,대구광역시 서구 달서천로 186,053-320-4492,[128.554385807689 35.8818754968117]
193,대구,서부,이현119안전센터,대구광역시 서구 국채보상로 119,053-320-4493,[128.544138809243 35.8690806172515]
194,대구,서부,읍내119안전센터,대구광역시 북구 칠곡중앙대로 570,053-320-4494,[128.551522566796 35.946379463826]
195,대구,서부,내당119안전센터,대구광역시 서구 서대구로3길 16,053-320-4495,[128.555262861103 35.8594368131317]
196,대구,서부,비산119안전센터,대구광역시 서구 달서로 206,053-3204496,[128.57201760232 35.8804536808062]
197,대구,서부,태전119안전센터,대구광역시 북구 칠곡중앙대로 184,053-320-4497,[128.54884110844 35.9123518748603]
198,대구,서부,동천119안전센터,대구광역시 북구 구암로 155,053-320-4498,[128.557805521356 35.9319171587778]
199,대구,서부,금호119안전센터,대구광역시 북구 한강로 105,053-320-4469,[128.521380921734 35.8961757818337]
200,대구,북부,칠성119안전센터,대구광역시 북구 칠성남로 112,053-350-5720,[128.592313890025 35.8780015545334]
201,대구,북부,침산119안전센터,대구광역시 북구 침산남로 149,053-350-5740,[128.592261688783 35.8883583451459]
202,대구,북부,노원119안전센터,대구광역시 북구 노원로 42,053-350-5750,[128.567391204939 35.8921501800608]
203,대구,북부,대현119안전센터,대구광역시 북구 대현로 105,053-350-5770,[128.610631790953 35.882427256702]
204,대구,북부,무태119안전센터,대구광역시 북구 호국로43길 21,053-350-5780,[128.596895399219 35.9209290885842]
205,대구,북부,산격119안전센터,대구광역시 북구 유통단지로8길 88,053-350-5790,[128.614261138811 35.9061144710021]
206,대구,수성,범물119안전센터,대구광역시 수성구 청호로 87,053-607-3822,[128.644226302015 35.8254701590657]
207,대구,수성,만촌119안전센터,대구광역시 수성구 달구벌대로 2658,053-607-3842,[128.652109027714 35.8553360858601]
208,대구,수성,황금119안전센터,대구광역시 수성구 동대구로12길 41,053-607-3852,[128.62643436355 35.835493398991]
209,대구,수성,상동119안전센터,대구광역시 수성구 파동로51길 5,053-607-3862,[128.609375652635 35.8250946227159]
210,대구,수성,가창119안전센터,대구광역시 달성군 가창면 가창로 1100,053-607-3920,[128.622833173824 35.8027087441067]
211,대구,수성,수성119안전센터,대구광역시 수성구 들안로60길 30,053-607-3872,[128.620896369932 35.8567913176433]
212,대구,수성,무열로119안전센터,대구광역시 수성구 무열로 139,053-607-3882,[128.648155346012 35.8707343183583]
213,대구,수성,고산119안전센터,대구광역시 수성구 고산로 105,053-607-3892,[128.704478975967 35.8402055935931]
214,대구,달서,월성119안전센터,대구광역시 달서구 학산로 75,059-607-2932,[128.534732158566 35.8310595731462]
215,대구,달서,본리119안전센터,대구광역시 달서구 대명천로 134,053-607-2952,[128.545087338814 35.8396910460472]
216,대구,달서,송현119안전센터,대구광역시 달서구 월배로 262,053-607-2962,[128.542027763004 35.8200239685594]
217,대구,달서,도원119안전센터,대구광역시 달서구 도원로 8,053-607-2972,[128.535628122043 35.8090060720396]
218,대구,달성,현풍119안전센터,대구광역시 달성군 현풍읍 비슬로 480,053-602-4932,[128.44694626899 35.6824958990577]
219,대구,달성,논공119안전센터,대구광역시 달성군 논공읍 논공중앙로33길 5,053-602-4952,[128.45301393138 35.7301021498426]
220,대구,달성,화원119안전센터,대구광역시 달성군 화원읍 화암로 122,053-602-4962,[128.501658095844 35.7987791076404]
221,대구,달성,구지119안전센터,대구광역시 달성군 구지면 달성2차로 111,053-602-4972,[128.418980346813 35.6400521416582]
222,대구,달성,옥포119안전센터,대구광역시 달성군 옥포읍 돌미로 93,053-602-4982,[128.443880018482 35.7813948501566]
223,대구,강서,다사119안전센터,대구광역시 달성군 다사읍 달구벌대로 920,053-601-5620,[128.467426171603 35.8554228156061]
224,대구,강서,성서119안전센터,대구광역시 달서구 성서로 357,053-601-5630,[128.506903861042 35.8494454146795]
225,대구,강서,죽전119안전센터,대구광역시 달서구 와룡로 222,053-601-5640,[128.537639496198 35.8525959576037]
